,park_name,census_tract
216,Madison Community Greenthumb,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
217,Siren Slope,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
218,P.S. 29,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
219,Newport Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
220,P.S. 5,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
221,P.S. 22,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
222,Athens Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
223,P.S. 21,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
224,P.S. 26,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
225,P.S. 24,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
226,Abe Lebewohl Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
227,Neighborhood Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
228,Cedar Grove Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
229,Bowne Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
230,Jerry and The Senior Gents,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
231,Bunker Ponds Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
232,Jackson Square,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
233,The Creative Little Garden,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
234,Van Dyke Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
235,Fairmount Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
236,Jamaica Bay Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
237,Plaza 67,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
238,Mariner's Harbor Playground,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
239,P.s. 11 - Staten Island,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
240,Peter Chahales Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
241,Roy Wilkins Recreation Center,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
242,Dream Street Park,"1400000US36081038302,1400000US36081038301,1400000US36081079300,1400000US36081041500,"
