,park_name,public_house
547,Townsend Walk,
548,Nakks Malls,7.0
549,Osborn Playground,
550,Bushwick Inlet Park,
551,Lopez Playground,
552,Pearl St Playground,
553,Our Little Green Acre/garden Eight,
554,Eagle Slope,1.0
555,Greene Av United Neighbors Association Inc,1.0
556,P.S. 138,
557,Seaside Wildlife Nature Park,
558,Glen Oaks Oval,
559,Laguardia Landing Lights,
560,Inwood Hill Park,
561,Mccarthy Square,
562,Lawrence Triangle,
563,Grove Hill Playground,2.0
564,Inwood Hill Park Zone 6 (the Clove),
565,Captain Tilly Park,
566,Sperandeo Brothers Playground,
567,Golconda Playground,1.0
568,Jesse Owens Playground,
569,Playground One Thirty Four CXXXIV,
570,Eleanor Roosevelt Playground,1.0
571,Detective Joseph Mayrose Park,
572,Concerned Residents of Montauk Avenue,2.0
573,Preston Comm Garden,4.0
574,Lion's Pride Playground,
575,I.S. 218,
576,Tom McDonald Triangle,
577,Richard Tucker Square,
578,Amundsen Circle,
579,Hallets Point Playground (area B),1.0
580,Von Briesen Park,
581,Harris Park,
582,Nehemiah Ten Garden,1.0
583,New 123rd St Block Association Garden,
584,Corporal John A. Seravalli Playground,
585,Ahearn Park,
586,Gravesend Park,
587,Crotona Zone 9,
588,Tribeca Dog Run,
589,Walker Park,
590,Theodore Roosevelt Park,
591,Crotona Zone 5,
592,Horace Harding Playground,
593,Saw Mill Creek Marsh,
594,Green Oasis and Gilbert's Garden,2.0
595,Rockaway Freeway,
596,Playground 103 CIII,2.0
597,,
598,Nostrand Playground,
599,Corona Taxpayers Association,
600,Grover Cleveland Playground,
601,Liz Christy Garden,
602,Seward Park,
603,Rodney Park North,
604,Alexander Grey Triangle,
605,Marcy Green South,
606,Albemarle Playground,
607,Kingdom Pond Park,
608,St. Michael's Playground,
609,Patrick O'Rourke Park,
610,Mill Pond Park,
611,Los Amigos Garden,2.0
612,Project Roots,
613,Greene Playground,
614,Sarsfield Playground,
615,Bayside Playground,
616,Eastern Parkway,
617,Neufeld Plgd,
618,Virginia Playground,
619,Coenties Slip,
620,Washington Hall Park,1.0
621,Cross Island Parkway,
622,Hoffman Park,
623,Playground Seventy Five,
624,Hickman Playground,
625,P.S. 139,
626,Herman Dolgon Playground,2.0
627,White Playground,
628,West Playground,
629,P.S. 131,
630,Ehrenreich-Austin Playground,
631,P.S. 132,
632,Community Group of 349 Elton Street,
633,Hope Ballfields,1.0
634,Beach channel Playground,1.0
635,Bell Malls,
636,Red Hook Recreation Area,
637,John Adams Playground,1.0
638,Allen Mall One,
639,Wald Playground,1.0
640,Tudor Grove Playground,
641,A Better Community Garden,
642,Brookville Park,
643,Joe Holzka Community Garden,
644,Mitchel Square,
645,American Playground,
646,Fleetwood Triangle,
647,Asphalt Green,2.0
648,Mary O'Connor Playground,
649,Eibs Pond Park,
650,Haggerty Park,1.0
651,Benninger Playground,
652,W 170 st & Edward L Grant Hwy,
653,Bennett Rest,
654,W 104th Street Garden,2.0
655,Hallets Cove Playground (area A),1.0
656,Bloomingdale Park - Zone 3,
657,Colucci Playground,
658,Faber,
659,COPERNICUS TRIANGLE,
660,Wellbrook Triangle,
661,Arrochar Playground,
662,Sherman Square,
663,Chatterton Triangle,
664,Upon This Rock Comm Garden,2.0
665,Garden Of Life,
666,Urban Botanical Soc./Sam and Sadie Koenig Garden,2.0
667,St. Nicholas Playground South,1.0
668,Police Officer Nicholas Demutiis Park,
669,Challenge Playground,
670,B.C.C.A. Mini-park and Garden,1.0
671,Slattery Playground,
672,Hancock Park,
673,P.S. 369 Annex,
674,Bildersee Playground,
675,Fresh Meadows Park,
676,Holy Cow Playground,
677,Harry Chapin Playground,
678,Claremont Zone 3,
679,Claremont Zone 2,
680,P.S. 99,
681,P.S. 98,
682,P.S. 93,
683,P.S. 97,
684,Heckscher Playground,4.0
685,Triangle/Plaza,
686,Martin Luther King Playground,1.0
687,Private William Gray Park,
688,Catharine Turner Richardson Park,
689,Brooklyn Bridge Park,
690,Coney Island Creek Park,
691,Corporal Ruoff Square,
692,Floyd Patterson Ballfields,
693,Lang Triangle,
694,Old Place Creek Park,
695,Sergeant Collins Triangle,
696,Middleburgh Triangle,
697,Dome Playground,
698,Conference House Park,
699,Bronx Park,
700,Joseph Daniel Wilson Garden,
701,Raoul Wallenberg Forest,
702,Telephone Playground,
703,United Community Center Garden,
704,Jardin De Las Rosas,
705,Courtlandt Avenue Association Garden,1.0
706,Joyce Kilmer Park,
707,Homecrest Playground,
708,Lyons Square Playground,1.0
709,Fordham Bedford Lot Busters,
710,Garden Of Eden,
711,Col. Young Playground,
712,Life Spire Garden,3.0
713,Euclid Garden,
714,Middle Village Playground,
715,Galapo Playground,
716,Remsen Family Cemetery,
717,DeLury Square,
718,Mae Grant Playground,1.0
719,I.S. 227,
720,East Springfield Playground,
721,I.S. 220,
722,Benson Playground,
723,United Community Centers,
724,Marion Hopkinson Playground,
725,Rita Ley Triangle,
726,First Temple Of David,
727,P.S. 186 Day Treatment Program,
728,Police Officer Edward Byrne Park,1.0
729,Anibal Aviles Playground,
730,Lincoln Center Plaza,
731,Annadale Green,
732,Mw United Orient Grand Lodge,
733,Bayview Playground,1.0
734,Pelham Parkway,
735,P.S. 384,
736,Millbrook Playground,2.0
737,Parkside Playground,
738,Udalls Cove Park,
739,Hamilton Fish,2.0
740,Corona Plaza,
741,Murphy's Brother's Playground,
742,Pelham Bay Little League,
743,Handball Haven,
744,Spencer St Block Association,
745,Thursby Basin Park,2.0
746,Madison Square Garden Association,
747,Playground Seventy,
748,The Backyard,
749,Judge Moses Weinstein Playground,
750,Old Croton Aqueduct Gatehouse,
751,Howard Playground,3.0
752,Mall Thirty Four XXXIV,
753,L/Cpl Thomas P. Noonan Jr. Playground,
754,Castlewood Playground,
755,Playground 174,2.0
756,Ryan Triangle,1.0
757,Chelsea Recreation Center,2.0
758,Bill Brown Playground,
759,Strip,
760,Deere Park,
761,Upper Playground,
762,Tiffany Street Pier,1.0
763,Quick Brown Fox Triangle,
764,157 St Playground,2.0
765,Grand Central Parkway,
766,Jennie Jerome Playground,
767,Willow Lake Playground,
768,South Oxford Park,1.0
769,Cleopatra Playground,
770,Jackie Robinson Parkway,
771,Schneider-sampson Park,
772,Park Golf Course,
773,Garden Beautiful,
774,Schenck Playground,
775,Russell Pedersen Playground,
776,William Sheridan Playground,
777,Frank Principe Park,
778,Playground One Twenty Five CXXV,1.0
779,Bell Tower Park,
780,Fisher,
781,South Clove Road Cemetery,
782,Fort Independence Playground,
783,Cpl Fischer Park,
784,St. Michael's Park,
785,400 Montauk Av Block Assn,2.0
786,Naples Playground,
787,Bleecker Playground,
788,McKinley Playground,
789,Harold Ickes Playground,
790,Frank Golden Park,
791,Newtown Playground,
792,Bedford Playground,1.0
793,Kissena Park Golf Course,
794,Evergreen Playground,1.0
795,Taqwa Community Farm,
796,Brooklyn Botanic Garden,
797,Alice Kornegay Triangle,2.0
798,Story Playground,1.0
799,Marcus Garvey Park,1.0
800,Space Time Playground,1.0
801,Admiral Triangle,
802,Vernon Tandt Block Association,
803,Parade Ground,
804,Beach 17 Playground,
805,Garlinge Triangle,
806,Gateway Triangle,
807,Richmond Terrace Cemetery,
808,South Gate Mall,1.0
809,Jaime Campiz Playground,
810,Thomas J. Cuite Park,
811,Spring Creek Park,
812,Fred Samuel Playground,5.0
813,Jerome Playground,
814,Lannett Playground,
815,Beach 59th St Playground,2.0
816,Belt Parkway,
817,P.S. 89,
818,Vidalia Park,
819,Bathgate Playground,
820,Pugsley Creek Park,
821,Featherbed Triangle,
822,Forest Park,
823,Linden Park,1.0
824,P.s. 69 - Staten Island,
825,M Fidler-Wyckoff House Park,
826,Louis Cuvillier Park,1.0
827,Howard Von Dohlen Playground,1.0
828,Abyssinian Tot Lot,5.0
829,Bartlett Playground,
830,Fort Hamilton Athletic Field,
831,Edmonds Playground,
832,Tottenville,
833,Frank D. O'Connor Playground,
834,Flushing Fields,
835,Boxcar Plgd (6),
836,Bartow-pell Woods,
837,P.S. 125 Playground,2.0
838,Hattie Carthan Playground,1.0
839,Barnhill Square,
840,Belt Parkway/Shore Parkway,
841,Barrett Triangle,
842,Dan Ross Playground,
843,Louis Armstrong Community Center,
844,Coney Island Beach & Boardwalk,
845,Barretto Park,1.0
846,Carlton Park,
847,Ida Court,
848,Woodhull Playground,
849,Citizens For A Better Community,
850,Manuel De Dios Unanue Triangle,
851,Nathan Straus Playground,2.0
852,Katzman Playground,
853,Mount Prospect Park,
854,Hell's Kitchen Park,
855,Crosson Green,
856,Hawkins Park,
857,Westerleigh Park,
858,Colgate Close,1.0
859,P.s. 44 - Staten Island,
860,Mall Eighteen,1.0
861,S.w. Corner,
862,Spirit Playground,
863,Corona Mac Park,
864,Cambria Playground,2.0
865,Carter Plgd (7),
866,Caserta Playground,
867,St. James Triangle,
868,Peter Minuit Playground,1.0
869,Seagirt Ave Wetlands,
870,Rev Lena Irons Unity Park,3.0
871,Staats Circle,
872,Kissena Park,
873,Van Cortlandt Park,
874,Padre Plaza,1.0
875,Locust Manor Civic Association,1.0
876,I.S. 238,
877,Bartel-Pritchard Square,
878,Walter Ward Playground,
879,I.S. 232,2.0
880,Epiphany Playground,1.0
881,Oxport Playground,1.0
882,Rufus King Park,
883,Bensonhurst Park,
884,Playground 146,
885,PARK,
886,Liotti Ikefugi Playground,
887,McGuire Fields,
888,Granite St Block Association,
889,Richmond Parkway,
890,Mosholu Golf Course,
891,Mariners Marsh Park,
892,Van Cortlandt's Tail,1.0
893,Ericsson Playground,
894,Four Winds Playground,
895,Laredo Avenue Parcel,
896,Eern Parkway Coalition,
897,Goble Playground,
898,William McCray Playground,
899,Two Coves Community Garden,
900,Squibb Park,
901,Woods Playground,3.0
902,Fantasy Garden,
903,De Hostos Playground,
904,Sterling Community Group,4.0
905,O'Brien Oval,
906,Ethan Allen Playground,1.0
907,Twenty-Four Sycamores Park,
908,Tennis Courts -forest Parkwy,
909,Bushwick Playground,
910,Harlem Lane Playground,2.0
