PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014-q3,coney island boat basin,BROOKLYN     ,36.81,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
2014-q3,bunker ponds park,STATEN ISLAND,36.691,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,seton falls park,BRONX        ,35.771,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2
2014-q3,mccarren park,BROOKLYN     ,35.713,ONE ACRE OR LARGER,0,0,1,1,0,7,0,9
2014-q3,st. mary's park bronx,BRONX        ,35.311,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3
2014-q3,shooters island,STATEN ISLAND,34.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,north brother island,BRONX        ,30.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,fort greene park,BROOKLYN     ,30.168,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3
2014-q3,battery park city,MANHATTAN    ,29.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,morningside park,MANHATTAN    ,29.888,ONE ACRE OR LARGER,0,0,0,0,0,4,0,4
2014-q3,macneil park,QUEENS       ,28.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,alley athletic playground,QUEENS       ,27.531,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,vernam barbadoes peninsula,QUEENS       ,27.484,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,college point fields,QUEENS       ,26.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,kaiser park,BROOKLYN     ,26.257,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
2014-q3,sunset park,BROOKLYN     ,24.498,ONE ACRE OR LARGER,0,0,4,1,0,0,0,5
2014-q3,owl's head park,BROOKLYN     ,24.218,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,springfield park,QUEENS       ,23.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,recreational area,MANHATTAN    ,23.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,king fisher park,STATEN ISLAND,23.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,siedenburg park,STATEN ISLAND,22.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,st. nicholas park,MANHATTAN    ,22.74,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3
2014-q3,south brother island,BRONX        ,22.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,locust point marina,BRONX        ,22.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,battery park,MANHATTAN    ,21.88,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
2014-q3,brooklyn bridge park,BROOKLYN     ,21.185,ONE ACRE OR LARGER,0,0,2,0,0,9,0,11
2014-q3,asser levy park,BROOKLYN     ,21.039,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,seaside wildlife nature park,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,wave hill,BRONX        ,20.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,queensbridge park,QUEENS       ,20.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,marcus garvey park,MANHATTAN    ,20.165,ONE ACRE OR LARGER,0,0,1,1,0,2,0,4
2014-q3,isham park,MANHATTAN    ,20.132,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
2014-q3,williamsbridge oval,BRONX        ,19.749,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
2014-q3,brant point wildlife sanctuary,QUEENS       ,19.556,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,broad channel american park,QUEENS       ,18.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,theodore roosevelt park,MANHATTAN    ,17.574,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
2014-q3,bensonhurst park,BROOKLYN     ,17.5,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
