,park_name,census_tract,ct,household,median_income
1150,Rockaway Beach 05a,"1400000US36081094203,",['1400000US36081094203'],2685,44689.0
1151,Little Green Garden,"1400000US36005014100,",['1400000US36005014100'],1928,32500.0
1152,P.S. 243,"1400000US36047030900,",['1400000US36047030900'],705,29375.0
1153,P.S. 242,"1400000US36061025700,",['1400000US36061025700'],1720,76686.0
1154,P.S. 241,"1400000US36061021600,",['1400000US36061021600'],3343,46250.0
1155,Midland Beach Playground,"1400000US36085011201,",['1400000US36085011201'],1984,83913.0
1156,Jacob Javits Plgd,"1400000US36061027300,",['1400000US36061027300'],3219,74621.0
1157,P.S. 246,"1400000US36005040100,",['1400000US36005040100'],1542,33487.0
1158,La Finca del Sur Community Garden,"1400000US36005005100,",['1400000US36005005100'],1960,18633.0
1159,P.S. 244,"1400000US36047094600,",['1400000US36047094600'],686,60950.0
1160,First Street Garden,"1400000US36061003602,",['1400000US36061003602'],1414,81250.0
1161,I.S. 254,"1400000US36005038700,",['1400000US36005038700'],1176,19362.0
1162,General Douglas,"1400000US36085011401,",['1400000US36085011401'],1288,28802.0
1163,"""Uncle"" Vito E. Maranzano Glendale Playground","1400000US36081062500,",['1400000US36081062500'],933,62263.0
1164,Gonzalo Plasencia Playground,"1400000US36047008200,",['1400000US36047008200'],1423,35511.0
1165,Castle Hill Little League,"1400000US36005009600,",['1400000US36005009600'],723,41250.0
1166,West Bronx Recreation Center,"1400000US36005021302,",['1400000US36005021302'],1961,30362.0
1167,Brinkerhoff Mall,"1400000US36081043400,",['1400000US36081043400'],482,88500.0
1168,Delphin H. Greene Playground,"1400000US36081061400,",['1400000US36081061400'],341,101473.0
1169,Playground Eighty Nine LXXXIX,"1400000US36061017300,",['1400000US36061017300'],4195,113750.0
1170,Andrews Grove,"1400000US36081000700,",['1400000US36081000700'],2953,93670.0
1171,Dry Harbor Playground,"1400000US36081064102,",['1400000US36081064102'],83,
1172,Rudd Playground,"1400000US36047040500,1400000US36047040700,1400000US36047040300,","['1400000US36047040500', '1400000US36047040700', '1400000US36047040300']",1838,34321.0
1173,Powell Street Livonia Garden,"1400000US36047091800,",['1400000US36047091800'],1052,27500.0
1174,Brook Park,"1400000US36005003900,",['1400000US36005003900'],1902,25990.0
1175,Kosciusko,"1400000US36047025300,",['1400000US36047025300'],1131,43491.0
1176,Highland Park,"1400000US36047118000,1400000US36081056100,1400000US36047114201,1400000US36047114202,","['1400000US36047118000', '1400000US36081056100', '1400000US36047114201', '1400000US36047114202']",1507,66407.3333333
1177,Madison Street Block Association,"1400000US36047022900,",['1400000US36047022900'],1674,51645.0
1178,Chappetto Square,"1400000US36081009500,",['1400000US36081009500'],999,60960.0
1179,Arverne Playground,"1400000US36081097204,",['1400000US36081097204'],1107,40506.0
1180,Arbutus Woods Park,"1400000US36085017600,",['1400000US36085017600'],1622,102561.0
1181,117th St Community Garden,"1400000US36061018200,",['1400000US36061018200'],2667,23451.0
1182,Mall,"1400000US36081040400,1400000US36047053200,1400000US36081040200,1400000US36047052800,","['1400000US36081040400', '1400000US36047053200', '1400000US36081040200', '1400000US36047052800']",3328,68121.75
1183,Taylor-Soundview Block Assoc. Garden,"1400000US36005001600,",['1400000US36005001600'],1964,32312.0
1184,9th St Community Garden Park,"1400000US36061002800,",['1400000US36061002800'],3292,30056.0
1185,Anchorage Plaza,"1400000US36047002100,",['1400000US36047002100'],1725,208036.0
1186,Peck Slip,"1400000US36061001501,",['1400000US36061001501'],3561,81867.0
1187,Old Gravesend Cemetary,"1400000US36047039800,",['1400000US36047039800'],873,52721.0
1188,Governor Smith Playground,"1400000US36005006700,",['1400000US36005006700'],2312,21016.0
1189,James Madison Plaza,"1400000US36061002700,",['1400000US36061002700'],597,57171.0
1190,Forest Mall,"1400000US36085007500,",['1400000US36085007500'],1130,48226.0
1191,University Malls,"1400000US36005021501,1400000US36005021502,","['1400000US36005021501', '1400000US36005021502']",3511,22291.5
1192,Sheltering Arms,"1400000US36061021900,",['1400000US36061021900'],2019,19025.0
1193,Tanahey Playground,"1400000US36061000800,",['1400000US36061000800'],3591,27137.0
1194,Cropsey Ave Home Depot,"1400000US36047031400,",['1400000US36047031400'],1899,40486.0
1195,Midland Malls,"1400000US36081046400,1400000US36081046600,1400000US36081127700,1400000US36081047200,","['1400000US36081046400', '1400000US36081046600', '1400000US36081127700', '1400000US36081047200']",4263,79197.75
1196,Dubos Point Wildlife Sanctuary,"1400000US36081096400,",['1400000US36081096400'],1286,58320.0
1197,Riverbend Playground,"1400000US36005026900,",['1400000US36005026900'],1371,33365.0
1198,Marconi Park,"1400000US36081025400,",['1400000US36081025400'],2874,32741.0
1199,Queens Village Veterans Plaza,"1400000US36081056800,",['1400000US36081056800'],1405,64858.0
1200,Thomas Jefferson Pk,"1400000US36061017800,",['1400000US36061017800'],1627,32896.0
1201,Nutter's Battery & Fort Clinton Site,"1400000US36061014300,",['1400000US36061014300'],0,
1202,Bath Beach Park,"1400000US36047017400,",['1400000US36047017400'],708,72692.0
1203,Huguenot Ponds Park,"1400000US36085017600,",['1400000US36085017600'],1622,102561.0
1204,Mckinley's Children's Garden,"1400000US36081025400,",['1400000US36081025400'],2874,32741.0
