,park_name,census_tract
395,Stuyvesant Square,[u'1400000US36061004800']
396,Joseph Austin Playground,[u'1400000US36081045200']
397,Montefiore Square,[u'1400000US36061022301']
398,Penn Triangle,[u'1400000US36047053700']
399,Gardens Of Union,[u'1400000US36047013300']
400,Sidney Hillman Playground,[u'1400000US36061001200']
401,Stop & Go Playground,[u'1400000US36005039500']
402,North Pacific Playground,[u'1400000US36047003900']
403,Montbellier Park,[u'1400000US36081032800']
404,Kissena Corridor Park,"[u'1400000US36081083700', u'1400000US36081140902', u'1400000US36081141700', u'1400000US36081079702', u'1400000US36081134700', u'1400000US36081133300']"
405,6BC Botanical Garden,[u'1400000US36061002601']
406,Michael Crescenzo Triangle,[u'1400000US36005026601']
407,Fort Tryon Park,"[u'1400000US36061028100', u'1400000US36061027500', u'1400000US36061028700', u'1400000US36061027300']"
408,Tremont Park,[u'1400000US36005039500']
409,Dr. Ronald E. McNair Playground,[u'1400000US36061019600']
410,Harmony Park,[u'1400000US36047027100']
411,Broad Channel Wetlands,"[u'1400000US36081107201', u'1400000US36081107202']"
412,Family Group Garden,[u'1400000US36005006900']
413,Orchard Alley Garden,[u'1400000US36061002601']
414,Kaiser Park,[u'1400000US36047033000']
415,Livonia Park,[u'1400000US36047091000']
416,South Shore Country Club,[u'1400000US36085020801']
417,Willoughby Playground,[u'1400000US36047025901']
418,Torsney Playground,[u'1400000US36081017100']
419,Cohn Triangle,[u'1400000US36047053500']
420,P.S. 36,[u'1400000US36085017005']
421,Brower Park,[u'1400000US36047034100']
422,Edenwald Playground,[u'1400000US36005045800']
423,Catherine Slip Malls,"[u'1400000US36061002500', u'1400000US36061000800']"
424,Givan Square,"[u'1400000US36005036000', u'1400000US36005035600']"
425,Parks Council Success Garden,[u'1400000US36061022600']
426,Colden Playground,[u'1400000US36081088901']
427,Woodtree Playground,[u'1400000US36081012301']
428,Aimee Triangle,"[u'1400000US36047064400', u'1400000US36047043400']"
