,PERIOD,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,CRIME_TOT,Street_light,Drinking,Drugs,311_Total
125,2014-q3,owl's head park,BROOKLYN     ,24.218,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
126,2014-q3,springfield park,QUEENS       ,23.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,8,0,0,8
127,2014-q3,recreational area,MANHATTAN    ,23.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
128,2014-q3,king fisher park,STATEN ISLAND,23.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
129,2014-q3,siedenburg park,STATEN ISLAND,22.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,4,0,0,4
130,2014-q3,st. nicholas park,MANHATTAN    ,22.74,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3,1,0,0,1
131,2014-q3,south brother island,BRONX        ,22.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
132,2014-q3,locust point marina,BRONX        ,22.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,7,0,0,7
133,2014-q3,battery park,MANHATTAN    ,21.88,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,7,0,0,7
134,2014-q3,brooklyn bridge park,BROOKLYN     ,21.185,ONE ACRE OR LARGER,0,0,2,0,0,9,0,11,11,0,0,11
135,2014-q3,asser levy park,BROOKLYN     ,21.039,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
136,2014-q3,seaside wildlife nature park,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
137,2014-q3,wave hill,BRONX        ,20.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
138,2014-q3,queensbridge park,QUEENS       ,20.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
139,2014-q3,marcus garvey park,MANHATTAN    ,20.165,ONE ACRE OR LARGER,0,0,1,1,0,2,0,4,0,1,0,1
140,2014-q3,isham park,MANHATTAN    ,20.132,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1,9,2,0,11
141,2014-q3,williamsbridge oval,BRONX        ,19.749,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2,3,0,0,3
142,2014-q3,brant point wildlife sanctuary,QUEENS       ,19.556,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
143,2014-q3,broad channel american park,QUEENS       ,18.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
144,2014-q3,theodore roosevelt park,MANHATTAN    ,17.574,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
145,2014-q3,bensonhurst park,BROOKLYN     ,17.5,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,5,0,0,5
146,2014-q3,lincoln terrace / arthur s. somers park,BROOKLYN     ,17.14,ONE ACRE OR LARGER,0,0,0,1,0,2,0,3,0,0,0,0
147,2014-q3,john golden park,QUEENS       ,17.0,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
148,2014-q3,bayview terrace park,STATEN ISLAND,16.944,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
149,2014-q3,jones woods park,STATEN ISLAND,16.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,2,0,0,2
150,2014-q3,francis lewis park,QUEENS       ,16.831,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1,0,0,0,0
151,2014-q3,leif ericson park,BROOKLYN     ,16.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,20,0,0,20
152,2014-q3,eibs pond park,STATEN ISLAND,16.505,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,3,0,0,3
153,2014-q3,railroad park queens,QUEENS       ,16.439,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
154,2014-q3,breukelen ballfields,BROOKLYN     ,16.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,11,0,0,11
155,2014-q3,franz sigel park,BRONX        ,15.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,1,0,1
156,2014-q3,alice austen park,STATEN ISLAND,15.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
157,2014-q3,thomas jefferson park,MANHATTAN    ,15.524,ONE ACRE OR LARGER,0,0,3,3,0,3,0,9,0,1,0,1
158,2014-q3,mill pond park,BRONX        ,15.496,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
159,2014-q3,sherman creek,MANHATTAN    ,15.383,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
160,2014-q3,harris park,BRONX        ,15.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
161,2014-q3,goodhue,STATEN ISLAND,15.064,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
162,2014-q3,mullaly park,BRONX        ,15.049,ONE ACRE OR LARGER,0,0,2,3,0,1,0,6,1,0,0,1
163,2014-q3,tremont park,BRONX        ,15.0,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,1,0,0,1
164,2014-q3,carl schurz park,MANHATTAN    ,14.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
165,2014-q3,grand army plaza brooklyn,BROOKLYN     ,14.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,0,0,0,0
166,2014-q3,von briesen park,STATEN ISLAND,13.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0,8,0,0,8
