,SiteName,Inspections_Inspection_OverallCondition,Inspections_Inspection_OverallCleanliness,Inspections_Inspection_Cleanliness_Glass,Inspections_Inspection_Cleanliness_Graffiti,Inspections_Inspection_Cleanliness_Litter,Inspections_Inspection_Cleanliness_Weeds,Inspections_Inspection_Landscape_Lawns,Inspections_Inspection_Landscape_Trees,Inspections_Inspection_Landscape,Inspections_Inspection_Structural_Benches,Inspections_Inspection_Structural_Fences,Inspections_Inspection_Structural_PavedSurfaces,Inspections_Inspection_Structural_PlayEquipment,Inspections_Inspection_Structural_SafetySurface,Inspections_Inspection_Structural_Sidewalks,Inspections_Inspection_Structural,average_score,ZIPCODE,the_geom,ACRES,WATERFRONT,TYPECATEGO
3590,Graham Triangle,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6875,10451,"MULTIPOLYGON (((-73.92740449391798 40.810672987192454, -73.92741074144267 40.810672605713094, -73.92741697194748 40.81067261593927, -73.92742205904243 40.81067344399794, -73.92742740154607 40.81067481431689, -73.92743403197689 40.81067761003398, -73.92744106730926 40.81068080222464, -73.92753327507639 40.810731607780106, -73.92753874439157 40.81073734198648, -73.92754205064576 40.81074425448553, -73.9275436196944 40.8107509128528, -73.92754379432913 40.81075815476681, -73.92754224417499 40.81076353426765, -73.92754031691105 40.810768027441476, -73.92753548070199 40.81077406584237, -73.9275303299202 40.81077838409431, -73.92737710378366 40.810887436128496, -73.92737192392386 40.81088905916477, -73.92736688039874 40.810889561166775, -73.92736328135108 40.810889222113126, -73.92735925857924 40.8108883578021, -73.92729568298695 40.81085445720556, -73.92729000693181 40.81085137662463, -73.92728754824934 40.81084975868026, -73.92728600422836 40.8108484186661, -73.92728386252173 40.81084523045321, -73.92728248121138 40.8108424947698, -73.92728204172423 40.81084012618312, -73.92728220516075 40.81083806594697, -73.92728295424082 40.81083585839859, -73.92728432157755 40.81083294254825, -73.92737624619612 40.81068604823414, -73.92738544526487 40.81067875279119, -73.9273901894878 40.810676645912515, -73.92739641516773 40.81067456067808, -73.92740449391798 40.810672987192454)), ((-73.92767293687326 40.8104452281746, -73.92768382451055 40.81044470551159, -73.92769590934375 40.81044621422135, -73.92770787916578 40.810448859286126, -73.92771648664001 40.810452587341686, -73.92772476256498 40.8104582215429, -73.92773703735686 40.81047034543737, -73.92774078167193 40.81047877644512, -73.9277427655803 40.81048758816055, -73.92774283231614 40.81049489304181, -73.9277412324902 40.810502378779105, -73.92773887880035 40.810507762281674, -73.92773601273433 40.810512401651714, -73.92773210697077 40.810517310519344, -73.92772706727469 40.81052304623364, -73.9275571312846 40.810656839121066, -73.92755258176588 40.81065864536267, -73.92754747446648 40.81066004602944, -73.9275409270139 40.81066049936755, -73.9275361698994 40.810660300969595, -73.92753022982185 40.81065915090206, -73.92752412045286 40.810656738229675, -73.92751943669874 40.81065338633337, -73.92751468455172 40.81064753911408, -73.92751283800077 40.81064321736403, -73.92751194490575 40.8106394626266, -73.92751227375392 40.810634602846, -73.92751543131006 40.81062677770314, -73.9276303358344 40.81046568056572, -73.92763840806268 40.81045808633022, -73.92764632277405 40.8104525676431, -73.92765521891555 40.81044913602503, -73.9276628595777 40.810447137211334, -73.92767293687326 40.8104452281746)))",0.126,No,Triangle/Plaza
3591,Hugh J. Grant Circle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,"10462, 10472","MULTIPOLYGON (((-73.86142591163686 40.83327871842415, -73.86138723831338 40.83332340045609, -73.86134151550054 40.8333640613922, -73.86128945943776 40.833400061833416, -73.86123188699003 40.833430837243064, -73.86116970140321 40.8334559060347, -73.86110360703333 40.8334752186215, -73.86103483252127 40.833488038070996, -73.86096447616848 40.83349416129003, -73.86089366570216 40.833493488780384, -73.86082353336083 40.83348603181311, -73.86075520285536 40.83347191061139, -73.86068976448085 40.833451348917784, -73.86062826799242 40.833424678487454, -73.86057169655287 40.83339232374811, -73.86056242556735 40.83338594243529, -73.86052282805488 40.83334408185168, -73.86049104660063 40.83329853957845, -73.86046766393663 40.83325015108622, -73.86045311092154 40.83319980569039, -73.86044765472424 40.83314842852637, -73.8604513953065 40.833096962535045, -73.86046426427139 40.83304635315302, -73.86048602371754 40.83299753030136, -73.86051627576329 40.83295139038728, -73.8605544637658 40.83290878099789, -73.86059988658141 40.83287048560942, -73.86065170927256 40.832837206491604, -73.86070898091022 40.83280955572474, -73.86077065001642 40.83278804081143, -73.86083558117852 40.83277305659255, -73.86090258470061 40.832764878980335, -73.86097042847253 40.832763657769206, -73.86103786642391 40.83276941576954, -73.86110440088117 40.83278089799251, -73.86116824413305 40.832799180180615, -73.86122819828996 40.83282391960911, -73.86128313684723 40.83285465117392, -73.86133202837125 40.83289079912584, -73.8613739554529 40.83293168429664, -73.86140813127568 40.83297653852622, -73.86143391262556 40.83302451998585, -73.86145081646025 40.833074727605414, -73.86145852580096 40.8331262190898, -73.86145689562632 40.83317802803506, -73.86144595521012 40.83322918104044, -73.86142591163686 40.83327871842415)))",1.11,No,Triangle/Plaza
3592,Hines Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,10456,"MULTIPOLYGON (((-73.9051856187144 40.828912146431584, -73.90626014110309 40.827976444702074, -73.90634323320991 40.82799434202688, -73.90586549427628 40.828399402066474, -73.90546271229879 40.82900503129447, -73.9051856187144 40.828912146431584)))",0.383,No,Playground
3593,Joyce Kilmer Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,10451,"MULTIPOLYGON (((-73.92296438335553 40.82717885077623, -73.92298988633868 40.82717801774211, -73.92300368565454 40.827178745551876, -73.92301923938926 40.827180575837176, -73.9230301068057 40.82718251105208, -73.92304468415244 40.827186006599014, -73.92305284809962 40.82718844248411, -73.92306185413297 40.82719156150608, -73.92383519002999 40.82743964809052, -73.92236630309179 40.82993975737919, -73.92150746965851 40.829642485395084, -73.92270441942296 40.827480155514365, -73.92283994931245 40.82723530609676, -73.92285260019307 40.827223518969916, -73.92285985627983 40.827217585055955, -73.92286932923014 40.82721061255197, -73.92287836884095 40.82720521292306, -73.92288844220715 40.827199796875306, -73.92290821164124 40.827191279698866, -73.92292261592162 40.827186572531716, -73.92294063905408 40.82718222167583, -73.92295188316929 40.82718030482992, -73.92296438335553 40.82717885077623)))",6.882,No,Community Park
3594,Lyons Square Park,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5625,10459,"MULTIPOLYGON (((-73.88767965403368 40.82261165255405, -73.88833850351591 40.82218391357894, -73.88842318528955 40.823153245049916, -73.88772732291498 40.82318889475944, -73.88767965403368 40.82261165255405)))",1.322,No,Playground
3595,McKinley Square,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,10456,"MULTIPOLYGON (((-73.90080882118195 40.8309896258089, -73.90080565839462 40.831041145820706, -73.90080981642787 40.83109262440246, -73.90082124876821 40.83114346358465, -73.9008398199741 40.83119307252377, -73.90084070752248 40.831195746857006, -73.90084099625591 40.83119849631694, -73.9008406756184 40.83120124435245, -73.9008397563966 40.83120391262969, -73.90083826359833 40.83120642642912, -73.90083623882116 40.83120871644829, -73.90083374025356 40.831210717901556, -73.90083083555642 40.8312123741159, -73.90082760897353 40.831213638338006, -73.9008241494722 40.8312144764255, -73.90082055430372 40.83121486414865, -73.90081692425602 40.83121479078818, -73.90081336128371 40.83121425823272, -73.9007154499205 40.83119616317891, -73.90061596244436 40.83118400544919, -73.90051551994387 40.83117786121688, -73.90051181682136 40.83117750232681, -73.90050825075056 40.83117666629242, -73.90050492483812 40.831175377516004, -73.90050193979633 40.83117367570635, -73.90049938328319 40.831171609565786, -73.90049733226779 40.8311692403944, -73.90049584591974 40.831166640282966, -73.90049496799251 40.8311638840103, -73.90049472681535 40.83116105444643, -73.90049512700507 40.83115823534135, -73.90049615895202 40.831155510432886, -73.90049779052505 40.83115296073778, -73.90049997300491 40.83115066095516, -73.90050264345518 40.83114867946829, -73.90077856648873 40.83097659393114, -73.90078120400894 40.83097521934319, -73.90078411247903 40.83097420698733, -73.9007872064942 40.83097358740692, -73.90079039473929 40.83097337943376, -73.90079358117718 40.83097358838827, -73.90079667571455 40.83097420878994, -73.90079958353601 40.83097522164679, -73.90080222051218 40.83097659717015, -73.90080450964173 40.83097829567206, -73.90080638105405 40.830980265764175, -73.90080778266974 40.830982450670525, -73.90080867072147 40.83098478461738, -73.9008090204135 40.83098720004622, -73.90080882118195 40.8309896258089)))",0.12,No,Triangle/Plaza
3596,Murphy Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6875,10457,"MULTIPOLYGON (((-73.89349875550805 40.851086922911634, -73.89350600460324 40.85108713761743, -73.89351310518325 40.85108826618527, -73.89351985806401 40.85109027871502, -73.89352607478087 40.851093116500884, -73.8935315823159 40.85109670194085, -73.89353622547733 40.8511009340367, -73.89353987519031 40.851105694705005, -73.89354242968037 40.85111085057906, -73.8935438156518 40.85111625751255, -73.89354399539751 40.85112176418801, -73.89354296560589 40.851127216618245, -73.89354075142435 40.851132462643335, -73.89353741831361 40.851137354642766, -73.89353305780588 40.8511417567267, -73.89352701450285 40.85114689566093, -73.89339935786994 40.85125551039633, -73.89339144261356 40.85125952467984, -73.89338273337094 40.85126244142955, -73.89337349118473 40.85126417173789, -73.89336399482575 40.85126466453431, -73.89335452893674 40.85126390477357, -73.89334537809968 40.85126191523106, -73.89333681735005 40.85125875559362, -73.89316274891183 40.851178782998524, -73.8931569596664 40.851175610605985, -73.89315193404917 40.8511717599493, -73.8931478082714 40.85116733561193, -73.89314469361568 40.85116245746238, -73.89314267525575 40.85115725705154, -73.89314180751451 40.85115187670757, -73.89314211506556 40.851146459631536, -73.89314358699542 40.85114115529511, -73.89314618631218 40.85113610594169, -73.89314984045558 40.85113144837882, -73.89315445197734 40.85112730948556, -73.89315989380485 40.85112380170556, -73.89316602110743 40.85112101855585, -73.89317266655122 40.85111903552271, -73.89317964978933 40.85111790826945, -73.89349875550805 40.851086922911634)))",0.1,No,Triangle/Plaza
3597,O'Brien Oval,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,10457,"MULTIPOLYGON (((-73.90114994571947 40.8477273357662, -73.90152165121785 40.8478018758899, -73.90152866741683 40.84780378552071, -73.90153514867696 40.847806578978194, -73.9015409053844 40.847810174155825, -73.90154576574905 40.8478144646489, -73.90154958765726 40.847819323366785, -73.9015522574797 40.847824607034354, -73.90155369717952 40.847830160700305, -73.90155386312539 40.84783581863685, -73.90155275082013 40.84784141424898, -73.9015503937097 40.84784678367561, -73.90147159414843 40.847985286896304, -73.90145504086458 40.848002100261034, -73.90143503426383 40.84801658830242, -73.90141213466347 40.848028348977394, -73.9013869781686 40.848037053247765, -73.90136026597794 40.84804245947916, -73.90133274184575 40.84804441792439, -73.90130517073327 40.84804287250632, -73.90127832338274 40.84803786710814, -73.90124456847903 40.84801687114704, -73.90120198791737 40.8479842917855, -73.90116482736902 40.84794808896738, -73.90113361613788 40.84790877913376, -73.90110880163219 40.84786692458025, -73.90109073515394 40.84782312083785, -73.90108655539649 40.847803744056264, -73.90108656562204 40.84778410792348, -73.90109076623742 40.84776473382505, -73.9010990461965 40.847746132244566, -73.90110224532482 40.84774153707212, -73.90110635571332 40.84773738212114, -73.90111127641401 40.84773376906073, -73.90111688396253 40.84773078963517, -73.90112303832092 40.84772851666427, -73.901129587617 40.84772700674874, -73.90113636814704 40.84772629846944, -73.90114321149466 40.8477264096919, -73.90114994571947 40.8477273357662)))",0.232,No,Triangle/Plaza
3598,Washington's Walk,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625,10468,"MULTIPOLYGON (((-73.90044104098514 40.87436475618061, -73.90055188227552 40.87399366683457, -73.90143739386093 40.87416281516215, -73.90135665026503 40.87440145303117, -73.9013377225865 40.874451772348, -73.90130781767411 40.87452617754076, -73.90126794263631 40.874617486266416, -73.90121261246054 40.8747324582867, -73.90116023248157 40.87483147705326, -73.90109376838528 40.87494634312374, -73.9010267489654 40.87505236858439, -73.9009852531428 40.87511389936983, -73.90090557651949 40.875224598236464, -73.90084347413907 40.87530499901315, -73.90076540094067 40.875399827152435, -73.90071984784933 40.87545230174241, -73.90065933609554 40.875519083001336, -73.90057721502949 40.87560488463425, -73.90055301511235 40.87563087078156, -73.90054451771789 40.875637754894655, -73.9005338355545 40.87564432015227, -73.90052526256531 40.875647808458, -73.90051733636929 40.87565034550464, -73.90050802538917 40.87565230414396, -73.90049997971808 40.875653023901314, -73.90049185543116 40.8756531627755, -73.90048223378652 40.875652637598584, -73.90047119556597 40.875650582170294, -73.90045913172546 40.875647356122165, -73.90044758567593 40.87564218186314, -73.90043693883514 40.87563545053417, -73.90042817540427 40.87562747185219, -73.90042135704951 40.87561667722044, -73.90041708453512 40.87560750206186, -73.9004161729339 40.87559990835906, -73.90041688596023 40.87559038000858, -73.90046607179859 40.875431027929444, -73.90049069310783 40.875349365878144, -73.90052010492127 40.87524620249039, -73.90055562257957 40.87511853396567, -73.90057543868589 40.8750251929208, -73.90059070618877 40.87494147867495, -73.9006035659187 40.874858214397165, -73.9006064256156 40.874799849911035, -73.90060397064293 40.874743812210994, -73.90059620009971 40.87468674517614, -73.90058826080876 40.87464971746181, -73.9005787152386 40.87461507285587, -73.90056310784416 40.874569926933965, -73.90054397639648 40.87452524532597, -73.90052418381947 40.874486364090465, -73.9005039968346 40.87445182916844, -73.9004678364662 40.87439879164016, -73.90044104098514 40.87436475618061)), ((-73.89820261947256 40.8728250121048, -73.8980021534897 40.87179586013315, -73.89837874340968 40.87188748753573, -73.89849034430344 40.87219625349702, -73.89850508802144 40.87223704509775, -73.89855527066597 40.87237588515175, -73.89858428694332 40.872456162208884, -73.89868416994842 40.872732504561945, -73.89846031952925 40.873379373707444, -73.89840317612205 40.873391273796926, -73.89838187150137 40.873352334122615, -73.89835867119048 40.87330718930875, -73.8983312185307 40.87324929883026, -73.89830780903105 40.87319515343765, -73.89827951282963 40.87312186744935, -73.89825500450665 40.87304860100164, -73.89823881508873 40.872992805959896, -73.89822242500532 40.872927072045385, -73.89820648248525 40.87284796986828, -73.89820261947256 40.8728250121048)), ((-73.8986215276441 40.8736990042643, -73.89881931349686 40.87313473542391, -73.8988470631851 40.87320895190529, -73.89903856687367 40.87372114458699, -73.89943447049458 40.87378995801446, -73.89936470796296 40.874023788268396, -73.89932025042388 40.874024060159385, -73.89926791566732 40.87402204241949, -73.89921648708547 40.874017790434934, -73.89914423553354 40.87400702140596, -73.89906489316174 40.87398938080612, -73.89902404147921 40.87397752165499, -73.89894009114332 40.87394608865807, -73.89886992970754 40.873912890120074, -73.89879276418546 40.873867334296996, -73.89875898763253 40.873843110345845, -73.89873912428708 40.87382736858845, -73.89871879849525 40.8738099344039, -73.89870298352294 40.87379531459984, -73.89867494713576 40.87376671928815, -73.89865255106275 40.87374085920415, -73.89863078300102 40.87371237834534, -73.8986215276441 40.8736990042643)), ((-73.89957961093869 40.87401844017083, -73.89963808939503 40.87382254745879, -73.90035241467254 40.87395463058946, -73.90026506089755 40.87424937953476, -73.90024262285645 40.87423278575152, -73.90020462699377 40.8742070151412, -73.9001776919878 40.87419019863761, -73.90011451783009 40.87415492317214, -73.90006956093247 40.874132983472705, -73.90001185420293 40.87410823759343, -73.89996275284983 40.87408993133384, -73.899901350249 40.87407029696941, -73.89985343079735 40.87405732257979, -73.89981662535081 40.874048680163526, -73.89974342819445 40.87403475177557, -73.89969896270296 40.87402849526448, -73.89967483170444 40.87402546845817, -73.89963541730475 40.874021733178836, -73.89960251552236 40.874019736091824, -73.89957961093869 40.87401844017083)), ((-73.89792426932358 40.87100796615648, -73.89792644943762 40.87100270832902, -73.89809331383371 40.87107684448105, -73.89818055443 40.871324400154535, -73.89831454895501 40.87170461555069, -73.89798464365306 40.87162293549256, -73.89790407229485 40.871187826354735, -73.89790318981139 40.87118235510385, -73.89790239986765 40.87117687673093, -73.89790170483737 40.871171390337516, -73.89790110234527 40.87116589772259, -73.8979005935777 40.87116039888712, -73.89790017971661 40.87115489653366, -73.89789985838955 40.87114939066012, -73.89789963078266 40.87114388126756, -73.89789949689323 40.871138370156906, -73.89789945553355 40.87113285822765, -73.89789951144594 40.87112734728494, -73.89789965988668 40.87112183642409, -73.89789990203921 40.87111632744713, -73.89790023671586 40.87111082125346, -73.89790066628645 40.87110531964625, -73.8979011895646 40.8710998226243, -73.89790180655032 40.87109433018777, -73.89790251723805 40.87108884593852, -73.89790332044569 40.871083367174016, -73.89790421616765 40.871077897496264, -73.89790520677643 40.87107243690735, -73.89790628871052 40.871066987205076, -73.89790746434232 40.87106154839155, -73.8979087324856 40.871056120465724, -73.89791009313483 40.87105070702954, -73.89791154629131 40.87104530718252, -73.8979130919551 40.87103992092461, -73.89791472656319 40.8710345509542, -73.89791645367431 40.87102919727436, -73.89791827209953 40.87102386168507, -73.89792018065522 40.87101854238424, -73.89792218051798 40.87101324567639, -73.89792426932358 40.87100796615648)))",4.637,No,Neighborhood Park
3599,Poe Park,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.625,10458,"MULTIPOLYGON (((-73.89441231340214 40.86442015397411, -73.89468061723038 40.86407746915373, -73.89540573213775 40.864219403025984, -73.89421872174341 40.865775121265216, -73.89412323678702 40.865726495486676, -73.89411913243914 40.8657236488741, -73.89411525190354 40.86572029188904, -73.89409774833638 40.86570421829074, -73.89408533245137 40.86568875809095, -73.89407690479707 40.86567457574415, -73.89407064184167 40.865659683997, -73.89406858281215 40.865652886109835, -73.89406669007137 40.865644457588125, -73.89406384545572 40.86562447400716, -73.89405884049795 40.86558236610815, -73.89405570872457 40.86553639322499, -73.8940565944216 40.86546961370902, -73.89406104034732 40.86539801353666, -73.89406583691759 40.865339353725055, -73.89407582915415 40.865273802730655, -73.89408477732249 40.865229249300704, -73.894103403504 40.86515553698292, -73.89441231340214 40.86442015397411)))",2.331,No,Playground
3600,Pulaski Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125,10454,"MULTIPOLYGON (((-73.92398827049517 40.80480308843431, -73.92399543206226 40.80480297699185, -73.92400259454709 40.80480309967922, -73.92400974254365 40.80480345648628, -73.92401686420337 40.804804045604236, -73.9240239453053 40.804804867023726, -73.92403097400187 40.80480591803543, -73.92403793607211 40.804807198629995, -73.92404481967155 40.80480870339664, -73.92405161294838 40.80481043322811, -73.92405830050181 40.804812383611704, -73.92406487285837 40.80481454823775, -73.92407131461316 40.80481692619563, -73.92407761866193 40.80481951207769, -73.92408377078884 40.80482230137206, -73.92408975796323 40.8048252895677, -73.92543108321868 40.80540175570669, -73.92520110567565 40.80571917748797, -73.92369664142471 40.80508512560589, -73.92386451579627 40.80485103217106, -73.92386908315561 40.8048468379625, -73.92387388261498 40.804842796991764, -73.92387890468447 40.80483891735717, -73.92388414224948 40.8048352026559, -73.9238895846309 40.804831664587375, -73.92389522353012 40.80482830584758, -73.92390104471582 40.804825135432125, -73.9239070410735 40.80482215693822, -73.9239132007442 40.80481937756202, -73.9239195106868 40.804816801797415, -73.92392596141669 40.80481443324009, -73.92393253988878 40.80481227998593, -73.92393923306824 40.80481034112579, -73.92394603028221 40.804808622956074, -73.92395291849076 40.80480712907017, -73.92395988347195 40.80480586035928, -73.92396691574118 40.804804820419, -73.92397399870632 40.804804010138895, -73.92398112288369 40.80480343221426, -73.92398827049517 40.80480308843431)))",1.45,No,Recreation Field/Courts
3601,Rose Hill Park,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6875,10458,"MULTIPOLYGON (((-73.88957477260601 40.86280920791844, -73.89016968094201 40.8621221162332, -73.8901878074362 40.862131162704216, -73.89071007708648 40.861497969907205, -73.89071455686029 40.86150019115819, -73.89075764037705 40.86152477392769, -73.8907960973918 40.86155344052933, -73.8908292609497 40.861585695066736, -73.89085655434104 40.86162097689384, -73.89087750768203 40.86165867593818, -73.89089175434798 40.861698138100444, -73.89089904992949 40.861738678779105, -73.89089835537092 40.86177163607526, -73.89089025102336 40.861804019055334, -73.89087497566145 40.86183487342367, -73.89085297792553 40.86186329100696, -73.89082490679117 40.86188843585979, -73.88957477260601 40.86280920791844)))",0.745,No,Triangle/Plaza
3602,Ryan Triangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10451,"MULTIPOLYGON (((-73.92453850603883 40.81552347556665, -73.9241686837012 40.81542878787738, -73.92416182929918 40.815426697817415, -73.92415551275508 40.81542379135985, -73.92414989992031 40.8154201442556, -73.92414514002797 40.815415853856656, -73.92414135858712 40.81541103370845, -73.92413865738492 40.815405811748555, -73.92413710619493 40.81540032579907, -73.9241367475203 40.81539472176855, -73.92413759067445 40.81538914734472, -73.92413961178337 40.815383750193384, -73.9241398804573 40.815384085355106, -73.92424663776998 40.81520692057107, -73.92424678356778 40.81520691166188, -73.92425360560264 40.81520097376224, -73.9242615988246 40.81519594883527, -73.92427055329242 40.81519196821549, -73.92428023539138 40.81518913530644, -73.9242903913893 40.81518752558306, -73.92430075574048 40.81518718029378, -73.92431105937912 40.8151881091674, -73.92432102972381 40.81519028681111, -73.92433040845188 40.81519365632412, -73.92433895031334 40.81519813019739, -73.92434643024018 40.8152035921192, -73.92459164446971 40.815481319335056, -73.92459168351627 40.81548137879343, -73.92459177821641 40.8154814860145, -73.92459174499925 40.81548151210721, -73.92459356779206 40.8154868775615, -73.92459416957884 40.8154923998042, -73.92459353275977 40.81549792033636, -73.9245916776648 40.81550327978326, -73.92458865543571 40.815508323292704, -73.92458455513193 40.815512905942775, -73.92457949305964 40.81551689543649, -73.92457361632206 40.815520177506635, -73.92456709333578 40.81552265681066, -73.92456011263847 40.81552426323298, -73.92455287578058 40.81552494917909, -73.92454558902179 40.81552469497295, -73.92453846451663 40.81552350885787, -73.92453850603883 40.81552347556665)))",0.22,No,Triangle/Plaza
3603,St. James Park,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.625,10468,"MULTIPOLYGON (((-73.8961123248121 40.865804078805574, -73.89699376972834 40.86458485472025, -73.89754205084672 40.86374761518518, -73.89861966230636 40.86423494334222, -73.89869648555407 40.86413647829625, -73.89952785688469 40.86449437647175, -73.8984877990252 40.86583265307961, -73.89787250068474 40.86659169841718, -73.8961123248121 40.865804078805574)))",11.39,No,Neighborhood Park
3604,Franz Sigel Park,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,10451,"MULTIPOLYGON (((-73.92641794484334 40.820941936972346, -73.92645895591514 40.82084565234012, -73.92710792330776 40.821733281163034, -73.92689598518176 40.82223087109354, -73.92678695125385 40.82242850946452, -73.9252235293763 40.825233175336564, -73.92491333159468 40.825748167209795, -73.92373848219556 40.825337553603305, -73.9245807624781 40.82395626958497, -73.92465765960233 40.82359294719494, -73.92509020004925 40.82252593577057, -73.9254734331662 40.82191683179043, -73.92559519657925 40.82176039155896, -73.926062337301 40.82127232945732, -73.92641794484334 40.820941936972346)), ((-73.92704566791802 40.82240502910918, -73.9272493803149 40.82192675387645, -73.92772225579215 40.82257351388707, -73.92747756641367 40.82298555966492, -73.92704566791802 40.82240502910918)))",15.99,No,Community Park
3605,University Woods,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.375,10468,"MULTIPOLYGON (((-73.91595087391448 40.858274332377256, -73.91600269685304 40.85808619275448, -73.91644041410198 40.858136286132314, -73.91616166752661 40.85860273533935, -73.91605776146447 40.85875461849776, -73.91606536595584 40.8587568212276, -73.91600545298428 40.858850791556414, -73.91595774100031 40.858914480935816, -73.91591768984497 40.85896014715421, -73.91587145953078 40.85901222124692, -73.91582291678212 40.85906301853883, -73.91575685553613 40.85912637747131, -73.91571907912636 40.8591606792872, -73.91566390178953 40.859207420356924, -73.91560664590351 40.85925269478129, -73.91554737439705 40.85929644857385, -73.91548613477296 40.85933863404034, -73.91539791520219 40.85939351011865, -73.91535198348626 40.85941916112276, -73.91525674914587 40.859466767687984, -73.91515738661283 40.85950925365071, -73.91510631066922 40.85952850368845, -73.91500168979698 40.85956292175424, -73.9149481223477 40.85957808255955, -73.91484367150964 40.859603704615196, -73.91478572240541 40.85961724122792, -73.91461319392967 40.85965593922539, -73.91455537508101 40.859668644665945, -73.9145046795296 40.85968054131269, -73.9144421180498 40.85969842190336, -73.91442056958715 40.859705913311906, -73.914380488848 40.859721776333565, -73.91434167909546 40.859739830277945, -73.91430460197503 40.85975986477441, -73.91427178415387 40.85978067954714, -73.91424604834737 40.85979776163812, -73.91418786694167 40.85984219721064, -73.91407072501951 40.85992986733268, -73.91403257833015 40.859958731154855, -73.91367353238539 40.859841551482006, -73.91334320065808 40.85973374205236, -73.91334845942146 40.8597302719093, -73.9133772354184 40.85971127875826, -73.91358082799236 40.859588319960814, -73.91368487334302 40.8595309591522, -73.91379755522854 40.85947736244978, -73.91391674463382 40.85942756606037, -73.91403474824192 40.85938110408134, -73.91416027726473 40.85933182364187, -73.91441905562402 40.859237194218416, -73.91461095126483 40.85916435703469, -73.9147413089106 40.859117952100576, -73.91493684443253 40.85904835432746, -73.91506720279813 40.859001958029936, -73.91513238191847 40.85897875532338, -73.91519756454107 40.85895556068691, -73.91529931178363 40.85891832719805, -73.91533444080035 40.85890562814807, -73.91540432952544 40.85887495647177, -73.91547134412521 40.858840770733586, -73.9155347808032 40.858803438723946, -73.91556608742383 40.858783010594586, -73.91562390779184 40.8587412368071, -73.915652022946 40.8587187595048, -73.91567881741085 40.858695825582046, -73.91570612409961 40.8586739275916, -73.91572421598062 40.85865799761995, -73.91573249143453 40.85865015138534, -73.91574983324716 40.85863179043731, -73.91581471472871 40.858558407280356, -73.91585177268607 40.85850482179687, -73.91589121863781 40.858435785620465, -73.91591211328699 40.8583886817711, -73.91593290600116 40.858333997511984, -73.91595087391448 40.858274332377256)))",3.306,No,Neighborhood Park
